model_PTC-Net_20250825_1436_epoch_001, 56.62, 35.15, 58.64, 30.74, 65.58, 47.31, 63.13, 50.54, 60.99, 40.93
model_PTC-Net_20250825_1436_epoch_010, 75.16, 56.54, 86.86, 62.77, 84.41, 66.13, 79.93, 69.94, 81.59, 63.84
model_PTC-Net_20250825_1436_epoch_020, 78.48, 61.33, 87.77, 65.41, 86.70, 71.03, 82.68, 72.74, 83.90, 67.63
model_PTC-Net_20250825_1436_epoch_030, 79.78, 63.27, 88.92, 67.53, 85.47, 70.02, 82.02, 71.30, 84.05, 68.03
model_PTC-Net_20250825_1436_epoch_040, 79.91, 63.54, 90.08, 69.14, 87.96, 72.84, 82.75, 72.33, 85.17, 69.46
model_PTC-Net_20250825_1436_epoch_050, 81.58, 65.71, 90.79, 71.53, 88.37, 74.86, 84.27, 74.45, 86.25, 71.64
model_PTC-Net_20250825_1436_epoch_060, 81.15, 64.81, 89.24, 69.02, 87.29, 74.86, 82.00, 72.26, 84.92, 70.24
model_PTC-Net_20250825_1436_epoch_070, 60.77, 38.59, 62.33, 35.97, 68.88, 50.66, 65.83, 52.73, 64.45, 44.49
model_PTC-Net_20250825_1436_epoch_080, 73.50, 54.84, 81.96, 58.45, 81.18, 64.04, 77.76, 66.20, 78.60, 60.88
model_PTC-Net_20250825_1436_epoch_090, 73.22, 54.09, 80.56, 55.29, 80.10, 62.36, 75.36, 63.86, 77.31, 58.90
model_PTC-Net_20250825_1436_epoch_100, 78.04, 61.14, 88.79, 66.76, 86.76, 73.98, 83.79, 73.67, 84.34, 68.89
model_PTC-Net_20250825_1436_epoch_110, 81.35, 65.09, 88.98, 66.31, 88.77, 75.06, 83.18, 73.14, 85.57, 69.90
model_PTC-Net_20250825_1436_epoch_120, 81.63, 65.74, 89.50, 67.98, 88.64, 75.27, 84.09, 73.22, 85.96, 70.55
model_PTC-Net_20250825_1436_epoch_130, 80.94, 63.96, 89.76, 67.08, 87.56, 73.58, 84.49, 74.12, 85.69, 69.69
model_PTC-Net_20250825_1436_epoch_140, 81.44, 64.73, 88.79, 68.06, 87.43, 73.05, 82.98, 72.69, 85.16, 69.63
model_PTC-Net_20250825_1436_epoch_150, 82.17, 65.98, 88.85, 68.05, 87.90, 73.79, 82.95, 73.04, 85.47, 70.21
model_PTC-Net_20250825_1436_epoch_160, 81.99, 65.73, 90.41, 70.44, 88.10, 74.66, 83.38, 72.41, 85.97, 70.81
