model_PTC-Net_20250824_0202_epoch_001, 74.77, 57.06, 87.90, 67.14, 84.61, 67.21, 78.98, 68.33, 81.56, 64.93
model_PTC-Net_20250824_0202_epoch_010, 89.44, 76.05, 94.79, 80.28, 92.80, 81.80, 85.46, 77.26, 90.62, 78.85
model_PTC-Net_20250824_0202_epoch_020, 91.27, 80.10, 94.66, 84.99, 94.35, 86.15, 90.19, 82.81, 92.62, 83.51
model_PTC-Net_20250824_0202_epoch_030, 92.48, 81.03, 96.85, 87.76, 94.63, 85.62, 91.38, 84.42, 93.83, 84.71
model_PTC-Net_20250824_0202_epoch_040, 92.44, 81.99, 96.07, 86.28, 94.56, 84.81, 91.58, 84.57, 93.66, 84.41
model_PTC-Net_20250824_0202_epoch_050, 93.07, 82.06, 95.94, 85.57, 93.82, 82.93, 90.32, 82.02, 93.29, 83.15
model_PTC-Net_20250824_0202_epoch_060, 92.28, 80.93, 94.01, 79.64, 93.48, 82.54, 88.96, 79.90, 92.18, 80.75
model_PTC-Net_20250824_0202_epoch_070, 90.90, 78.99, 96.14, 85.89, 93.82, 85.76, 89.16, 81.65, 92.51, 83.07
model_PTC-Net_20250824_0202_epoch_080, 93.80, 83.51, 97.17, 88.54, 95.43, 86.29, 91.51, 84.02, 94.48, 85.59
model_PTC-Net_20250824_0202_epoch_090, 91.68, 80.59, 95.37, 84.99, 94.22, 83.53, 89.41, 82.03, 92.67, 82.78
model_PTC-Net_20250824_0202_epoch_100, 93.44, 82.11, 97.68, 88.35, 95.23, 85.42, 91.17, 84.12, 94.38, 85.00
model_PTC-Net_20250824_0202_epoch_110, 91.59, 80.01, 96.59, 86.15, 94.09, 84.95, 91.23, 84.75, 93.37, 83.96
model_PTC-Net_20250824_0202_epoch_120, 93.45, 83.09, 98.01, 89.63, 96.17, 86.97, 91.63, 85.25, 94.81, 86.23
model_PTC-Net_20250824_0202_epoch_130, 93.99, 83.82, 96.97, 85.89, 95.09, 83.80, 90.02, 83.56, 94.02, 84.27
model_PTC-Net_20250824_0202_epoch_140, 93.42, 83.24, 97.56, 86.80, 95.70, 87.43, 91.15, 84.39, 94.46, 85.46
model_PTC-Net_20250824_0202_epoch_150, 92.03, 80.95, 96.65, 86.54, 94.83, 84.74, 90.27, 82.68, 93.44, 83.73
model_PTC-Net_20250824_0202_epoch_160, 93.45, 82.54, 95.81, 83.69, 93.42, 82.05, 89.51, 81.59, 93.05, 82.47
model_PTC-Net_20250824_0202_epoch_170, 93.68, 83.18, 98.01, 88.73, 95.70, 86.43, 91.68, 85.40, 94.77, 85.94
model_PTC-Net_20250824_0202_epoch_180, 93.43, 82.53, 97.81, 87.63, 95.56, 85.42, 91.05, 84.22, 94.46, 84.95
model_PTC-Net_20250824_0202_epoch_190, 93.58, 82.98, 95.69, 84.08, 95.83, 87.09, 89.89, 82.40, 93.75, 84.14
model_PTC-Net_20250824_0202_epoch_200, 93.65, 83.07, 97.88, 88.80, 96.17, 88.17, 91.91, 84.62, 94.90, 86.16
model_PTC-Net_20250824_0202_epoch_210, 92.39, 81.14, 95.49, 82.80, 95.36, 84.88, 88.45, 80.49, 92.92, 82.33
model_PTC-Net_20250824_0202_epoch_220, 92.45, 81.72, 96.46, 86.08, 94.16, 84.75, 89.91, 82.05, 93.25, 83.65
model_PTC-Net_20250824_0202_epoch_230, 91.64, 78.32, 94.33, 81.90, 93.21, 81.32, 87.44, 78.51, 91.66, 80.01
model_PTC-Net_20250824_0202_epoch_240, 92.79, 82.06, 93.88, 76.80, 92.08, 79.16, 84.26, 75.82, 90.75, 78.46
model_PTC-Net_20250824_0202_epoch_250, 93.62, 83.23, 96.33, 83.38, 94.36, 84.41, 90.62, 82.53, 93.73, 83.39
model_PTC-Net_20250824_0202_epoch_260, 93.17, 81.37, 96.27, 84.09, 93.96, 82.00, 88.13, 80.53, 92.88, 82.00
model_PTC-Net_20250824_0202_epoch_270, 92.11, 80.31, 93.30, 77.83, 93.08, 81.92, 87.39, 78.28, 91.47, 79.59
model_PTC-Net_20250824_0202_epoch_280, 92.82, 81.70, 94.84, 82.48, 93.43, 81.73, 88.38, 79.57, 92.37, 81.37
model_PTC-Net_20250824_0202_epoch_290, 92.80, 81.50, 95.88, 82.74, 92.07, 80.84, 88.75, 81.01, 92.37, 81.52
model_PTC-Net_20250824_0202_epoch_300, 91.52, 79.12, 95.81, 83.90, 94.49, 85.42, 88.12, 79.57, 92.48, 82.00
model_PTC-Net_20250824_0202_epoch_310, 92.60, 80.15, 94.53, 79.06, 90.52, 76.70, 87.77, 78.42, 91.36, 78.58
model_PTC-Net_20250824_0202_epoch_320, 93.13, 82.34, 95.05, 81.19, 92.68, 79.36, 88.00, 79.02, 92.21, 80.48
model_PTC-Net_20250824_0202_epoch_330, 92.20, 80.32, 96.85, 86.16, 94.09, 82.46, 88.98, 80.89, 93.03, 82.46
model_PTC-Net_20250824_0202_epoch_340, 92.62, 81.19, 94.27, 80.74, 94.29, 84.01, 89.81, 81.72, 92.75, 81.92
model_PTC-Net_20250824_0202_epoch_350, 91.96, 79.97, 91.69, 72.94, 86.56, 72.79, 84.95, 75.24, 88.79, 75.23
model_PTC-Net_20250824_0202_epoch_360, 93.32, 82.25, 95.75, 82.42, 92.49, 78.84, 89.33, 81.16, 92.72, 81.17
model_PTC-Net_20250824_0202_epoch_370, 93.71, 83.03, 95.82, 83.77, 92.89, 80.86, 90.16, 82.22, 93.15, 82.47
model_PTC-Net_20250824_0202_epoch_380, 94.21, 83.40, 96.59, 83.77, 95.37, 83.87, 90.59, 82.32, 94.19, 83.34
model_PTC-Net_20250824_0202_epoch_381, 94.05, 83.43, 96.65, 84.80, 94.90, 82.66, 91.23, 82.98, 94.21, 83.47
