model_PTC-Net_20250822_1938_epoch_380, 90.96, 78.74, 94.52, 81.70, 90.66, 77.15, 88.63, 80.61, 91.19, 79.55
model_PTC-Net_20250822_1938_epoch_381, 91.19, 78.99, 94.72, 82.41, 90.93, 77.22, 88.78, 81.14, 91.41, 79.94
model_PTC-Net_20250822_1938_epoch_382, 91.06, 78.92, 94.52, 83.11, 91.26, 77.48, 89.03, 81.44, 91.47, 80.24
model_PTC-Net_20250822_1938_epoch_383, 91.35, 79.35, 94.07, 82.02, 91.06, 77.69, 88.53, 81.29, 91.25, 80.09
model_PTC-Net_20250822_1938_epoch_384, 91.24, 79.07, 94.08, 82.28, 91.06, 77.08, 88.63, 81.19, 91.25, 79.91
model_PTC-Net_20250822_1938_epoch_385, 91.04, 78.80, 94.65, 82.60, 91.53, 78.29, 88.71, 81.32, 91.48, 80.26
model_PTC-Net_20250822_1938_epoch_386, 91.33, 79.07, 94.27, 81.76, 90.38, 77.28, 88.15, 80.64, 91.03, 79.69
model_PTC-Net_20250822_1938_epoch_387, 91.23, 78.92, 94.14, 82.34, 91.20, 77.62, 88.65, 80.92, 91.30, 79.95
model_PTC-Net_20250822_1938_epoch_388, 91.14, 78.98, 94.78, 82.79, 90.92, 78.02, 88.86, 81.37, 91.43, 80.29
model_PTC-Net_20250822_1938_epoch_389, 90.80, 78.32, 94.72, 82.67, 90.26, 77.22, 88.73, 81.19, 91.13, 79.85
model_PTC-Net_20250822_1938_epoch_390, 91.45, 79.22, 94.92, 82.09, 90.79, 78.09, 88.91, 81.37, 91.52, 80.19
model_PTC-Net_20250822_1938_epoch_391, 90.62, 78.21, 94.78, 82.15, 91.13, 77.49, 88.93, 81.88, 91.37, 79.93
model_PTC-Net_20250822_1938_epoch_392, 91.48, 79.27, 94.33, 81.70, 91.07, 77.35, 88.65, 81.47, 91.38, 79.95
model_PTC-Net_20250822_1938_epoch_393, 91.35, 79.14, 93.94, 80.80, 91.06, 77.89, 87.80, 80.64, 91.04, 79.62
model_PTC-Net_20250822_1938_epoch_394, 91.33, 79.16, 94.27, 81.83, 91.07, 77.62, 88.43, 81.24, 91.27, 79.96
model_PTC-Net_20250822_1938_epoch_395, 91.09, 78.87, 94.46, 81.77, 91.60, 77.95, 88.96, 81.45, 91.53, 80.01
model_PTC-Net_20250822_1938_epoch_396, 91.05, 78.90, 94.79, 81.57, 91.94, 79.16, 88.88, 81.24, 91.66, 80.22
model_PTC-Net_20250822_1938_epoch_397, 91.37, 79.29, 94.65, 81.57, 91.40, 78.83, 88.28, 80.99, 91.43, 80.17
model_PTC-Net_20250822_1938_epoch_398, 91.17, 78.92, 94.53, 81.25, 91.53, 78.76, 88.73, 80.84, 91.49, 79.94
model_PTC-Net_20250822_1938_epoch_399, 90.67, 78.43, 94.40, 81.38, 91.06, 79.24, 89.13, 81.57, 91.32, 80.15
model_PTC-Net_20250822_1938_epoch_400, 91.26, 78.93, 94.72, 82.60, 91.27, 78.49, 88.96, 81.37, 91.55, 80.35
model_PTC-Net_20250822_1938_epoch_401, 91.30, 79.13, 94.79, 81.57, 91.13, 79.16, 88.91, 80.99, 91.53, 80.21
model_PTC-Net_20250822_1938_epoch_402, 90.93, 78.51, 94.33, 82.67, 91.40, 78.77, 89.13, 81.90, 91.45, 80.46
