model_PTC-Net_20250824_2016_epoch_001, 75.59, 57.10, 85.57, 63.86, 84.61, 69.48, 78.77, 67.22, 81.13, 64.42
model_PTC-Net_20250824_2016_epoch_010, 89.54, 78.16, 92.07, 75.78, 93.07, 81.65, 87.19, 79.38, 90.47, 78.74
model_PTC-Net_20250824_2016_epoch_020, 91.85, 80.65, 95.36, 83.71, 94.22, 83.33, 90.04, 82.75, 92.87, 82.61
model_PTC-Net_20250824_2016_epoch_030, 91.74, 81.14, 96.20, 85.19, 94.63, 84.48, 89.31, 82.17, 92.97, 83.24
model_PTC-Net_20250824_2016_epoch_040, 90.74, 78.97, 94.01, 78.81, 92.67, 81.79, 86.31, 77.27, 90.93, 79.21
model_PTC-Net_20250824_2016_epoch_050, 92.79, 81.86, 96.01, 85.90, 95.23, 86.71, 89.56, 81.94, 93.40, 84.10
model_PTC-Net_20250824_2016_epoch_060, 93.58, 83.61, 95.23, 82.48, 95.83, 87.17, 90.14, 82.50, 93.69, 83.94
model_PTC-Net_20250824_2016_epoch_070, 91.63, 81.00, 95.05, 83.64, 95.16, 85.15, 90.01, 83.15, 92.96, 83.24
model_PTC-Net_20250824_2016_epoch_080, 93.98, 83.53, 95.56, 82.86, 95.50, 87.23, 91.50, 84.75, 94.13, 84.59
model_PTC-Net_20250824_2016_epoch_090, 92.99, 82.74, 94.59, 79.19, 94.62, 83.67, 88.86, 81.37, 92.77, 81.74
model_PTC-Net_20250824_2016_epoch_100, 92.75, 82.23, 96.40, 85.97, 95.63, 88.51, 90.95, 84.25, 93.93, 85.24
model_PTC-Net_20250824_2016_epoch_110, 94.32, 84.22, 94.73, 81.00, 94.29, 84.41, 88.05, 80.20, 92.84, 82.46
model_PTC-Net_20250824_2016_epoch_120, 93.70, 83.21, 96.85, 86.35, 95.70, 86.56, 91.50, 84.62, 94.44, 85.18
model_PTC-Net_20250824_2016_epoch_130, 93.96, 83.93, 96.78, 86.73, 96.50, 87.70, 91.81, 85.40, 94.76, 85.94
model_PTC-Net_20250824_2016_epoch_140, 93.03, 82.66, 95.30, 83.00, 95.70, 86.96, 90.57, 82.73, 93.65, 83.84
model_PTC-Net_20250824_2016_epoch_150, 92.86, 81.83, 94.98, 81.83, 94.29, 83.60, 89.99, 82.55, 93.03, 82.45
model_PTC-Net_20250824_2016_epoch_160, 93.97, 84.30, 96.85, 86.35, 94.96, 86.82, 91.98, 84.98, 94.44, 85.61
model_PTC-Net_20250824_2016_epoch_170, 91.76, 79.73, 93.63, 80.88, 94.16, 83.40, 88.27, 80.41, 91.96, 81.10
model_PTC-Net_20250824_2016_epoch_180, 93.35, 83.13, 95.17, 83.26, 95.10, 85.01, 89.71, 82.50, 93.33, 83.48
model_PTC-Net_20250824_2016_epoch_190, 93.45, 83.28, 95.94, 83.51, 95.09, 85.21, 90.57, 83.89, 93.76, 83.97
model_PTC-Net_20250824_2016_epoch_200, 92.85, 81.49, 95.56, 85.32, 94.76, 85.35, 89.16, 81.84, 93.08, 83.50
model_PTC-Net_20250824_2016_epoch_210, 92.94, 82.35, 95.43, 84.22, 95.10, 83.06, 91.20, 83.31, 93.67, 83.24
model_PTC-Net_20250824_2016_epoch_220, 93.39, 82.67, 95.88, 85.51, 94.63, 82.19, 90.62, 84.01, 93.63, 83.59
model_PTC-Net_20250824_2016_epoch_230, 93.76, 84.24, 97.23, 86.15, 95.90, 87.04, 92.44, 85.30, 94.83, 85.68
model_PTC-Net_20250824_2016_epoch_240, 92.77, 81.77, 95.24, 82.48, 94.76, 84.48, 89.11, 82.19, 92.97, 82.73
model_PTC-Net_20250824_2016_epoch_250, 93.18, 82.69, 96.27, 85.96, 95.50, 84.34, 90.70, 82.55, 93.91, 83.89
model_PTC-Net_20250824_2016_epoch_260, 92.87, 81.95, 92.21, 78.50, 93.14, 80.85, 87.08, 77.90, 91.33, 79.80
model_PTC-Net_20250824_2016_epoch_270, 92.74, 81.76, 95.88, 82.10, 92.81, 82.80, 88.86, 81.16, 92.57, 81.96
